,Number,Title,Overview,Genres
1441,1442,Ice Age: A Mammoth Christmas,sid accidentally destroy manny heirloom christmas rock end santa naughty list lead hilarious quest north pole make things right end make things much worse manny prehistoric posse band together save christmas entire world,Animation
1442,1443,Mechanic: Resurrection,arthur bishop think put murderous past behind formidable foe kidnap love life force travel globe complete three impossible assassinations best make look like accidents,Action
1443,1444,Bride Wars,two best friends become rival respective weddings accidentally book day,Comedy
1444,1445,The Doorman,former marine turn doorman luxury new york city high rise must outsmart battle group art thieve ruthless leader struggle protect sister family thieve become increasingly desperate violent doorman call upon deadly fight skills end showdown,Action
1445,1446,Freddy vs. Jason,attempt free state forget limbo evil dream demon freddy krueger devise plan manipulate un dead mass murderer jason voorhees slice dice way teenage population springwood master dream lose control monster brutal fight death way,Horror
1446,1447,Final Destination 5,fifth installment death omnipresent ever unleash one man premonition save group coworkers terrify suspension bridge collapse group unsuspecting souls never suppose survive terrify race time ill fat group frantically try discover way escape death sinister agenda,Horror
1447,1448,The Matrix Reloaded,six months events depict matrix neo prove good omen free humans humans free matrix bring zion one stronghold resistance neo discover superpowers include super speed ability see cod things inside matrix certain degree pre cognition nasty piece news hit human resistance machine sentinels dig zion would reach hours zion prepare ultimate war neo morpheus trinity advise oracle find keymaker would help reach source meanwhile neo recurrent dream depict trinity death get worry enough agent smith somehow escape deletion become powerful fix neo next target,Adventure
1448,1449,First Blood,former green beret john rambo harass local law enforcement arrest vagrancy vietnam vet snap run hill rat tat tat way action movie hall fame hound relentless sheriff rambo employ heavy hand guerilla tactics shake cop tail,Action
1449,1450,Just Say Yes,incurable romantic lotte find life upend plan picture perfect wed unravel self absorb sister get engage,Comedy
1450,1451,Paranormal Activity: Tokyo Night,koichi take care sister recently return trip abroad unite state well care record evidence ghost home,Horror
1451,1452,Dirty Grandpa,jason kelly one week away marry boss uber control daughter put fast track partnership law firm however straight lace jason trick drive foul mouth grandfather dick daytona spring break pending nuptials suddenly jeopardy riotous frat party bar fight epic night karaoke dick quest live life fullest bring jason along ride,Comedy
1452,1453,American Pie Presents: The Naked Mile,erik stifler realize stifler family member might graduate high school virgin decide live legacy well mean advice jim dad erik ready take chance annual infamous naked mile race devote friends uninhibited sorority girls create outrageous weekend ever,Comedy
1453,1454,Brother Bear 2,kenai find childhood human friend nita two embark journey burn amulet give bear much koda dismay,Adventure
1454,1455,Jurassic Park,wealthy entrepreneur secretly create theme park feature live dinosaurs draw prehistoric dna open day invite team experts two eager grandchildren experience park help calm anxious investors however park anything amuse security systems go line dinosaurs escape,Adventure
1455,1456,Rogue One: A Star Wars Story,rogue band resistance fighters unite mission steal death star plan bring new hope galaxy,Action
1456,1457,Batman: Soul of the Dragon,bruce wayne face deadly menace past help three former classmates world renowned martial artists richard dragon ben turner lady shiva,Animation
1457,1458,Halo Effect,three world best kayakers take two month journey scandinavian paddle meccas iceland norway search inside arctic circle rapids waterfalls never run also search elusive moments star align everything go perfectly sometimes blink eye things go horribly wrong inevitable externalities main goal call halo effect,Adventure
1458,1459,The Boy in the Striped Pyjamas,family move home berlin strange new house poland young bruno befriend shmuel boy live side fence everyone seem wear strip pajamas unaware shmuel fate jewish prisoner role nazi father play imprisonment bruno embark dangerous journey inside camp wall,War
1459,1460,Countdown,young nurse download app tell three days live time tick away mysterious figure haunt must find way save life time run,Horror
1460,1461,The Social Network,tale new breed cultural insurgent punk genius spark revolution change face human interaction generation perhaps forever,Drama
1461,1462,The Shining,jack torrance accept caretaker job overlook hotel along wife wendy son danny must live isolate rest world winter prepare madness lurk within,Horror
1462,1463,Fate/kaleid liner Prisma?�Illya: Vow in the Snow,succumb unenviable fate kiritsugu emiya leave shirou emiya duty save mankind place world die time tick salvation shirou seek cost family leave younger sister still heart pursue duty shirou press choice continue hero justice become evil ideal vow vanquish orphan alone yet body still make swords fifth holy grail war begin oath snow,Action
1463,1464,Cult of Chucky,confine asylum criminally insane nica pierce convince chucky murder entire family psychiatrist introduce new therapeutic good guy doll familiar face string new grisly deaths lead nica wonder crazy,Horror
1464,1465,Allegiant,beatrice prior tobias eaton venture world outside fence take protective custody mysterious agency know bureau genetic welfare,Adventure
1465,1466,Kaliwaan,boogie almost kill man girlfriend monica hook cop uncle help hide unknown victim family put justice hand,Thriller
1466,1467,DAKAICHI -I'm Being Harassed by the Sexiest Man of the Year- The Movie: In Spain,takato saijo reign idol industry huggable five years freshman actor azumaya takato always consider brusque azumaya smile win admirers comparison whole fiasco drive takuto indulge alcohol action catch attention last person want see surprise azumaya use new info blackmail takuto physical affection,Animation
1467,1468,Hostel: Part II,three american college students study abroad lure slovakian hostel discover grim reality behind,Horror
1468,1469,Doctor Strange,dr stephen strange embark wondrous journey heights tibetan mountain seek heal feet mysterious ancient one,Action
1469,1470,Sword Art Online the Movie -Progressive- Aria of a Starless Night,one month kayaba akihiko game death begin death toll continue rise two thousand players already lose live ultra difficult vrmmo world sword art online day strategy meet plan first floor boss battle kirito solo player vow fight alone get stronger run rare high level female player gracefully dispatch powerful monsters single rapier flash like shoot star night,Animation
1470,1471,Modest Heroes,two tiny aquatic humanoids search miss father boy battle lethal allergy egg invisible salaryman try become hero,Animation
1471,1472,The Garden of Words,takao train become shoemaker skip school sketch shoe japanese style garden meet mysterious woman yukino older without arrange time two start see rainy days deepen relationship open end rainy season soon approach,Animation
1472,1473,Percy Jackson: Sea of Monsters,quest confront ultimate evil percy friends battle swarm mythical creatures find mythical golden fleece stop ancient evil rise,Adventure
1473,1474,That's My Boy,teens donny father son todd raise single parent todd birthday see years todd world come crash donny resurface todd wed,Comedy
1474,1475,One Piece 3D: Straw Hat Chase,one piece straw hat chase one piece film series set time skip one piece first movie release cgi movie also first one piece film since movie double feature time film feature toriko gourmet adventure bill jump heroes film double feature release march granmaster,Animation
1475,1476,"Ninja Escapades: Creation of Akatsuki, The Two Uchiha, The Far Reaches of Hope",,Animation
1476,1477,Cloverfield,five young new yorkers throw friend go away party night monster size skyscraper descend upon city tell point view video camera film document attempt survive surreal horrify event live,Action
1477,1478,The Imitation Game,base real life story legendary cryptanalyst alan turing film portray nail bite race time turing brilliant team code breakers britain top secret government code cypher school bletchley park darkest days world war ii,History
1478,1479,El tiempo del no tiempo,one hundred years since mexican revolution two hundred years since independence thousands victims drug traffic country amongst dangerous world indigenous people struggle dignity marxists imperialism pharmacies sell cigarettes population die starvation zapatista movement shut outside world leave fragment jeopardize right govern mixture vitality atrocities mark volatile yet brew social situation cross mexico become political reflection sense historical anthropological without stop word image film weave concepts feel create continuous flow domino effect chain contemporary human condition,Documentary
1479,1480,A Dog's Way Home,adventure bella dog embark epic mile journey home separate beloved human,Drama
1480,1481,Undercover Wedding Crashers,geeky look sebas surprisingly good classical musician also complete unknown criminal underworld new newbie police force make perfect man dangerous mission go undercover keyboard player los lolos cheesy flamenco trap band hire play wed local mafia boss daughter major drug trafficker attend sebas keen take mission blissfully unaware turn even cheesier lolo band lead singer fall love sister luci sebas face tough choice remain loyal new friends complete police mission,Comedy
1481,1482,Pandemic,virus epic proportion overwhelm planet infect uninfected humanity lose grip survival hope find cure keep infect contain lauren doctor arrive los angeles crack team lead hunt uncontaminated civilian survivors nothing prepare blood soak mayhem witness head californian streets everything consider trap,Action
1482,1483,Deep,four insomniac med school students lure neuroscience experiment spiral control must find way late,Drama
1483,1484,Barbie: A Fairy Secret,get ready barbie fairy secret amaze adventure barbie discover fairies live secretly around us ken suddenly whisk away group fairies barbie two fashion stylist friends reveal actually fairies ken take magical secret fairy world far away barbie rival raquelle take fairy friends action pack journey bring back along way must stick together learn real magic lie fairy world power friendship,Animation
1484,1485,Chemical Hearts,hopelessly romantic high school senior fall mysterious new classmate set unexpected journey teach love loss importantly,Drama
1485,1486,I See You,year old boy go miss lead investigator greg harper struggle balance pressure investigation trouble wife jackie face recent affair great strain put family slowly gnaw away jackie grip reality malicious presence manifest home put son connor mortal danger cold hard truth evil harper household finally uncover,Thriller
1486,1487,Ballerina,set paris orphan girl dream become ballerina flee rural brittany paris pass someone else accede position pupil grand opera house,Animation
1487,1488,King Kong,new york overly ambitious movie producer coerce cast hire ship crew travel mysterious skull island encounter kong giant ape immediately smite lead lady,Adventure
1488,1489,The Book of Daniel,take slavery fall jerusalem daniel force serve powerful king world king nebuchadnezzar face imminent death daniel prove trust advisor place among king wise men threaten death every turn daniel never cease serve king force choose serve king honor god life stake daniel nothing faith stand lions den,Fantasy
1489,1490,CJ7,ti really poor construction worker struggle keep son dicky private school mistake orb find junkjard toy prove much much young boy start play,Comedy
1490,1491,The Devil Wears Prada,andy move new york work fashion industry boss extremely demand cruel let succeed fit high class elegant look magazine,Comedy
1491,1492,Wrong Turn 6: Last Resort,sudden mysterious inheritance bring danny friends hobb spring forget resort deep west virginia hill hobb spring look watchful care jackson sally socially awkward couple introduce danny long lose family never know clan name hillicker soon danny learn relatives different way live generations hillickers observe ancient traditions root cannibalism taboo rituals,Horror
1492,1493,Ride or Die,rei help woman love years escape abusive husband run feel catch fire,Crime
1493,1494,Tinker Bell and the Lost Treasure,blue harvest moon rise allow fairies use precious moonstone restore pixie dust tree source magic tinker bell accidentally put pixie hollow jeopardy must venture across sea secret quest set things right,Animation
1494,1495,Snow White and the Huntsman,evil queen marry king perform violent coup king murder daughter snow white take captive almost decade later grow snow white still clutch queen order obtain immortality evil queen need heart snow white snow escape castle queen send huntsman find dark forest,Adventure
1495,1496,Seventh Son,john gregory seventh son seventh son also local spook protect country witch boggarts ghouls manner things go bump night however john young anymore seek apprentice carry trade fail survive last hope young farmer son name thomas ward survive train become spook many others,Adventure
1496,1497,Dragon Ball Z: Dead Zone,order wish immortality avenge father garlic jr collect dragon ball kidnap goku son gohan process goku kami piccolo krillin unite rescue gohan save world suck dead zone,Animation
1497,1498,The Road to El Dorado,fail swindle two con men end map el dorado fabled city gold unintended trip new world much surprise map lead pair mythical city startle inhabitants promptly begin worship gods question take worshipful natives worth bite el dorado riches,Family
1498,1499,The Last Survivors,near future society collapse water become scarce greedy water baron start violently clear survivors kendal year old teenager fight baron henchman keep well open,Documentary
1499,1500,Barbie in A Mermaid Tale 2,surf barbie return merliah fun fashionable surf champion also magical mermaid princess excite sea quel merliah make splash head australia ultimate surf competition evil mermaid eris escape whirlpool plan take throne oceana merliah sea friends dive stop fresh new adventure merliah learn anything possible really best worlds,Animation
1500,1501,The Notebook,epic love story center around older man read aloud woman alzheimer fade notebook old man word bring life story couple separate world war ii passionately reunite seven years later take different paths,Romance
1501,1502,The Jungle Book,man cub name mowgli foster wolves threat tiger shere khan mowgli force flee jungle embark journey self discovery help panther bagheera free spirit bear baloo,Family
1502,1503,Alvin and the Chipmunks,struggle songwriter name dave seville find success come across trio sing chipmunks mischievous leader alvin brainy simon chubby impressionable theodore,Comedy
1503,1504,Assassins,true crime meet global spy thriller grip account assassination kim jong nam half brother north korean leader film follow trial two female assassins probe question women train killers innocent pawn north korea,Documentary
1504,1505,The Wolf of Snow Hollow,stress police officer struggle give paranoia grip small mountain town body turn full moon,Horror
1505,1506,Minions,minions stuart kevin bob recruit scarlet overkill super villain alongside inventor husband herb hatch plot take world,Family
1506,1507,Puss in Boots,long even meet shrek notorious fighter lover outlaw puss boot become hero set adventure tough street smart kitty softpaws mastermind humpty dumpty save town true story cat myth legend boot,Animation
1507,1508,What's Eating Gilbert Grape,gilbert grape small town young man lot responsibility chief among concern mother overweight leave house mentally impair younger brother arnie knack find trouble settle job grocery store ongoing affair local woman betty carver gilbert finally life shake free spirit becky,Romance
1508,1509,Schindler's List,true story businessman oskar schindler save thousand jewish live nazis work slave factory world war ii,Drama
1509,1510,Gladiator,year death emperor marcus aurelius throw roman empire chaos maximus one roman army capable trust general key advisor emperor marcus devious son commodus ascend throne maximus set execute escape capture slave traders rename spaniard force become gladiator maximus must battle death men amusement pay audiences,Action
1510,1511,Rush Hour 3,botch assassination attempt mismatch duo find paris struggle retrieve precious list name murderous crime syndicate henchmen try best stop lee carter must fight way dangerous gangsters however time past come back haunt lee boys get job do,Action
1511,1512,28 Days Later,twenty eight days killer virus accidentally unleash british research facility small group london survivors catch desperate struggle protect infect carry animals humans virus turn infect homicidal maniacs absolutely impossible contain,Horror
1512,1513,The Lego Movie 2: The Second Part,five years since everything awesome citizens face huge new threat lego duplo invaders outer space wreck everything faster rebuild,Action
1513,1514,American Psycho,wealthy new york investment bank executive hide alternate psychopathic ego co workers friends escalate deeper illogical gratuitous fantasy,Thriller
1514,1515,Under Wraps,three friends try save mummify friend harold greedy criminals return rest place midnight halloween,Comedy
1515,1516,Cursed,los angeles siblings ellie jimmy come across accident mulholland drive try help woman catch wreckage ferocious creature attack devour woman scratch terrify siblings slowly discover creature werewolf fall victim deadly curse,Horror
1516,1517,The Anthem of the Heart,young girl voice magically take away would never hurt people outlook change encounter music friendship naruse able convey anthem heart,Animation
1517,1518,Insidious: Chapter 2,haunt lambert family seek uncover mysterious childhood secret leave dangerously connect spirit world,Horror
1518,1519,The Legend of Tarzan,tarzan acclimate life london call back former home jungle investigate activities mine encampment,Fantasy
1519,1520,Focus,nicky accomplish con artist get romantically involve disciple jess later end relationship years later return femme fatale spoil plan,Romance
1520,1521,Independence Day,july giant alien mothership enter orbit around earth deploy several dozen saucer shape destroyer spacecraft quickly lay waste major cities around planet july unite state conduct coordinate counterattack fail july plan devise gain access interior alien mothership space order plant nuclear missile,Action
1521,1522,"Paul, Apostle of Christ",risk life luke venture rome visit paul apostle bind chain hold captive nero darkest bleakest prison cell haunt shadow past misdeeds paul wonder forget await grisly execution paul death luke resolve write another book detail birth come know church,Drama
1522,1523,Barbie Mariposa,elina heroine fairytopia film tell friend bibble story flutterfield faraway kingdom populate fairies butterfly wing henna evil butterfly fairy poison queen flutterfield attempt take kingdom,Animation
1523,1524,Scooby-Doo 2: Monsters Unleashed,mystery inc guests honor grand open coolsville museum criminology mask villain show create havoc steal costume gang notorious villains could nemesis mad scientist jonathan jacobo return try recreate deadliest foes,Mystery
1524,1525,A Dog Named Palma,film inspire incredible story shepherd dog name palm inadvertently leave airport owner befriend nine year old nicholas whose mother die leave father barely know pilot find dog airport story amaze adventure true friendship unconditional love,Family
1525,1526,Sijjin 6,turkish villagers mostly spell black magic put hater close far families make suffer trified djins bad kind wicked devil among muslims come holly book quran look clue exorcists help run away defeat,Horror
1526,1527,Bright: Samurai Soul,izo ronin raiden orc work bring young elf girl wand carry land elves north,Animation
1527,1528,Where the Wild Things Are,max imagine run away mom sail far land large talk beasts ira carol douglas bull judith alexander crown king play rumpus build fort discover secret hideaways,Family
1528,1529,Back to the Future,eighties teenager marty mcfly accidentally send back time inadvertently disrupt parent first meet attract mother romantic interest marty must repair damage history rekindle parent romance help eccentric inventor friend doc brown return,Adventure
1529,1530,Mission: Impossible - Rogue Nation,ethan team take impossible mission yet eradicate syndicate international highly skilled rogue organisation commit destroy imf,Action
1530,1531,Bungo Stray Dogs: Dead Apple,large scale catastrophe occur across planet ability users discover appearance mysterious fog apparently commit suicide arm detective agency set investigate mysterious deaths case seem involve unknown ability user refer collector man could mastermind behind incident trust courage put test order save city yokohama ability users across world grip collector arm detective agency form unlikely partnership dangerous port mafia,Animation
1531,1532,Greta,young woman return elderly widow lose purse lead unlikely relationship two young woman discover elder might seem,Mystery
1532,1533,Hachi: A Dog's Tale,drama base true story college professor bond abandon dog take home,Drama
1533,1534,Justice League vs. Teen Titans,robin send batman work teen titans volatile behavior botch justice league mission titans must step face trigon possess league threaten conquer world,Science Fiction
1534,1535,12 Years a Slave,pre civil war unite state solomon northup free black man upstate new york abduct sell slavery face cruelty well unexpected kindnesses solomon struggle stay alive retain dignity twelfth year unforgettable odyssey solomon chance meet canadian abolitionist forever alter life,Drama
1535,1536,A Walk to Remember,popular restless landon carter force participate school drama production fall love jamie sullivan daughter town minister jamie list life also big secret must keep landon,Drama
1536,1537,Source Code,decorate soldier captain colter stevens wake body unknown man discover part mission find bomber chicago commuter train,Thriller
1537,1538,What the Peeper Saw,wealthy author second wife begin suspect year old stepson may murder mother mysteriously die bathtub accident,Horror
1538,1539,Monster House,monsters bed scary enough happen entire house get three teens aim find go decrepit neighbor home unlock frighten secrets,Animation
1539,1540,Whisper of the Heart,shizuku live simple life dominate love stories write one day notice library book previously check person seiji amasawa,Animation
1540,1541,Pride & Prejudice,story love life among land english gentry georgian era mr bennet gentleman live hertfordshire overbear wife five daughters die house inherit distant cousin never meet family future happiness security dependent daughters make good marriages,Drama
1541,1542,Robin Hood,king richard crusade prince john slither minion sir hiss set tax nottingham citizens support corrupt sheriff staunch opposition wily robin hood band merry men,Adventure
1542,1543,Life Is Beautiful,touch story italian book seller jewish ancestry live little fairy tale creative happy life would come abrupt halt entire family deport concentration camp world war ii lock try convince son whole thing game,Drama
1543,1544,Parallel Mothers,two unmarried women become pregnant accident give birth meet hospital room janis middle age unrepentant happy ana teenager remorseful frighten,Drama
1544,1545,War of Likes,order advance career dynamic world publicity mexico city raquel try reunite high school friend cecy become queen social media unlike followers friendships come instantly,Comedy
1545,1546,The Human Centipede 2 (Full Sequence),inspire fictional dr heiter disturb loner martin dream create person centipede set realize sick fantasy,Drama
1546,1547,It Follows,seemingly innocent sexual encounter jay find plague strange visions inescapable sense someone something follow,Horror
1547,1548,No Escape,new overseas home american family soon find catch middle coup frantically look safe escape environment foreigners immediately execute,Thriller
1548,1549,The Rental,two couple oceanside getaway grow suspicious host seemingly perfect rental house may spy long celebratory weekend trip turn something far sinister,Horror
1549,1550,Sex and the City 2,carrie charlotte miranda marry still little fun sun samantha get chance visit one extravagant vacation destinations planet offer bring along surmise women retreat may perfect excuse eschew remember life like decide settle,Comedy
1550,1551,The Fifth Element,taxi driver unintentionally give task save young girl part key ensure survival humanity,Adventure
1551,1552,Breathless,dr harden cop manolo try take infamous drug cartel meanwhile daughter fall love lorenzo construction worker unwittingly get embroil drug cartel deal,Action
1552,1553,Paranormal Activity: The Marked Ones,seventeen year old jesse hear terrify sound come neighbor apartment turn camera set uncover source encounter ancient evil rest claim soul,Horror
1553,1554,Child's Play,karen single mother gift son andy buddi doll birthday unaware sinister nature contemporary imagine horror classic,Horror
1554,1555,Piranha 3D,year population sleepy lake victoria arizona explode residents annual spring break celebration earthquake open underwater chasm release enormous swarm ancient piranha dormant thousands years taste human flesh year something worry usual hangovers complaints locals new type terror cut loose lake victoria,Comedy
1555,1556,The Unbearable Weight of Massive Talent,creatively unfulfilled face financial ruin nick cage must accept million offer attend birthday dangerous superfan things take wildly unexpected turn cage recruit cia operative force live legend channel iconic beloved screen character order save love ones,Action
1556,1557,9 Bullets,former burlesque dancer turn author lena headey discover second chance life redemption risk everything rescue young neighbor witness parent murder run local crime boss sam worthington happen longtime ex make desperate attempt get boy safety,Action
1557,1558,Elysium,year two class people exist wealthy live pristine man make space station call elysium rest live overpopulate ruin earth secretary rhodes hard line government stop nothing enforce anti immigration laws preserve luxurious lifestyle citizens elysium stop people earth try get mean unlucky max back corner agree take daunt mission successful save life could bring equality polarize worlds,Science Fiction
1558,1559,Contraband,brother law run afoul drug lord family man chris farraday turn skill abandon long ago smuggle repay debt job go wrong farraday find want cop crook killers alike,Thriller
1559,1560,Into the White,base true story april luftwaffe pilot horst schopis heinkel bomber shoot near grotli raf blackburn skua fighter crash land survive german english crew members begin shoot later find huddle cabin order survive harsh winter norwegian wilderness stand together unlikely lifelong friendship blossom,War
1560,1561,Marley & Me,newly marry couple process start family learn many life important lessons trouble love retriever marley pack plenty laugh lighten load film explore highs low marriage maturity confront one mortality see lens family life dog,Comedy
1561,1562,Home Alone 2: Lost in New York,instead fly florida folks kevin end alone new york get hotel room dad credit card despite problems clerk meddle bellboy kevin run old nemeses wet bandits determine foil plan rob toy store christmas eve,Comedy
1562,1563,The Longest Yard,pro quarter back paul crewe former college champion coach nate scarboro time prison ask put together team inmates take guard crewe enlist help scarboro coach inmates victory football game fix turn quite another way,Comedy
1563,1564,The Simpsons: When Billie Met Lisa,lisa simpson discover chart top artists billie eilish finneas search quiet place practice saxophone billie invite lisa studio special jam session never forget,Animation
1564,1565,Tomb Raider,lara croft fiercely independent daughter miss adventurer must push beyond limit find island father disappear,Action
1565,1566,Rise of the Mummy,group archaeology students awaken ancient mummy trap time loop way escape defeat mummy body count rise seem mummy collect souls wake able walk earth good,Horror
1566,1567,Tropic Thunder,ben stiller jack black robert downey jr lead ensemble cast tropic thunder action comedy group self absorb actors set make expensive war film balloon cost force studio cancel movie frustrate director refuse stop shoot lead cast jungles southeast asia encounter real bad guy,Action
1567,1568,Gods of Egypt,common thief join mythical god quest egypt,Action
1568,1569,Alvin and the Chipmunks: Chipwrecked,play around aboard cruise ship chipmunks chipettes accidentally go overboard end maroon tropical paradise discover new turf desert seem,Comedy
1569,1570,Justice League: The Flashpoint Paradox,flash find war tear alternate timeline team alternate versions fellow heroes restore timeline,Science Fiction
1570,1571,The Emoji Movie,gene multi expressional emoji set journey become normal emoji,Animation
1571,1572,Prey,hike trip wild turn desperate bid survival five friends run mysterious shooter,Thriller
1572,1573,Togo,untold true story set winter take across treacherous terrain alaskan tundra exhilarate uplift adventure test strength courage determination one man leonhard seppala lead sled dog togo,Adventure
1573,1574,Boyz n the Hood,boyz hood popular successful film social criticism john singleton condition south central los angeles teenagers involve gun fight drug deal daily basis,Drama
1574,1575,Men in Black,police chase otherworldly new york city cop recruit agent top secret organization establish monitor police alien activity earth men black agent kay new recruit agent jay find middle deadly plot intergalactic terrorist arrive earth assassinate two ambassadors oppose galaxies,Action
1575,1576,Curse of the Blair Witch,mockumentary blair witch legend three filmmakers disappear october first air sci fi channel july promotional prelude release blair witch project july,Horror
1576,1577,Breakthrough,tragedy strike woman name joyce son fall ice freeze lake trap underwater minutes rush hospital year old boy continue fight life joyce husband pastor stay bedside pray miracle,Drama
1577,1578,Barbie: A Fashion Fairytale,join barbie colourful modern day fairytale fill fashion friends fun barbie dog sequin jet visit aunt amaze fashion house paris much surprise shut forever discover three enchant flairies sparkle magic power barbie come brilliant idea save business even inspire alice shy fashion designer together create dazzle runway fashion show barbie show magic happen believe,Family
1578,1579,Sinister,find footage help true crime novelist realize family murder new home though discoveries put entire family path supernatural entity,Horror
1579,1580,The Mermaid,playboy business tycoon liu xuan purchase green gulf wildlife reserve sea reclamation project use sonar technology get rid sea life area unknown green gulf home merpeople sonar cause many succumb illness die xuan business venture area threaten cross paths mermaid send avenge people,Animation
1580,1581,Intersect,group young miskatonic university scientists invent time machine learn manipulate mysterious unseen force another dimension,Horror
1581,1582,The Mortuary Collection,town raven end misguide young girl take refuge decrepit old mortuary eccentric undertaker chronicle strange history town series twist tales terrify last young girl world unhinge discover final story,Fantasy
1582,1583,The Villainess,young girl raise killer yanbian province china hide identity travel south korea hop lead quiet life become involve two mysterious men,Drama
1583,1584,The Empire of Corpses,story empire corpses take place century europe revolve around john watson scout government become secret agent however watson live world frankensteins human corpses purpose false soul order use laborers use improve industrial development,Animation
1584,1585,Gone Girl,wife disappearance become focus intense media circus man see spotlight turn suspect may innocent,Mystery
1585,1586,Halloween,jamie lee curtis return iconic role laurie stride come final confrontation michael myers mask figure haunt since narrowly escape kill spree halloween night four decades ago,Horror
1586,1587,Gemini Man,henry brogan elite year old assassin ready call quit complete job plan get turn upside become target mysterious operative seemingly predict every move horror brogan soon learn man try kill younger faster clone version,Science Fiction
1587,1588,King Arthur: Legend of the Sword,child arthur father murder vortigern arthur uncle seize crown rob birthright idea truly arthur come hard way back alleys city pull sword excalibur stone life turn upside force acknowledge true legacy whether like,Action
1588,1589,Abominable,group misfits encounter young yeti name everest set reunite magical creature family mountain namesake,Family
1589,1590,Parker,thief unique code professional ethics double cross crew leave dead assume new disguise form unlikely alliance woman inside look hijack score crew latest heist,Action
1590,1591,Transformers: Beginnings,home planet cybertron autobots decepticons involve explosive battle covet allspark fate universe stake autobots send far reach ruthless megatron leader decepticons even surprise store crash land earth,Animation
1591,1592,Bird Box,five years ominous unseen presence drive society suicide survivor two children make desperate bid reach safety,Thriller
1592,1593,Doctor Sleep,still irrevocably scar trauma endure child overlook dan torrance fight find semblance peace peace shatter encounter abra courageous teenager powerful extrasensory gift know shine instinctively recognise dan share power abra seek desperate help merciless rise hat followers,Horror
1593,1594,Alien,return earth commercial spaceship nostromo intercept distress signal distant planet three member team crew discover chamber contain thousands egg planet creature inside one egg attack explorer entire crew unaware impend nightmare set descend upon alien parasite plant inside unfortunate host birth,Horror
1594,1595,Beyond the Boundary: I'll Be Here ??Past,begin quite suddenly akihito appear human actually half yomu power quickly heal see freshman girl appear ready jump school rooftop girl mirai ability manipulate blood unique even among members spirit world continue fight isolation akihito decide moment save mirai disturb events soon begin unfold,Animation
1595,1596,Chicken Run,hopelessly repress face eventual certain death british chicken farm hold ginger chicken along help rocky american rooster decide rebel lead fellow chickens great escape murderous farmers mr mrs tweedy farm doom,Animation
1596,1597,Blade,daywalker know blade half vampire half mortal man become protector humanity underground army vampires,Horror
1597,1598,Dolittle,lose wife seven years earlier eccentric dr john dolittle famed doctor veterinarian queen victoria england hermits away behind high wall dolittle manor menagerie exotic animals company young queen fall gravely ill reluctant dolittle force set sail epic adventure mythical island search cure regain wit courage cross old adversaries discover wondrous creatures,Family
1598,1599,Resort to Love,aspire pop star erica end entertainment ex wed reluctantly take gig luxurious island resort wake music career meltdown,Romance
1599,1600,The Amityville Harvest,stay age manor research liquor smuggle history christina documentary video team interview spooky host vincent one capture image voice video shock dream bloody encounter crew members fall victor hypnotic spell,Horror
1600,1601,Burn,lonely unstable gas station attendant melinda tire overshadow confident outgo co worker sheila gas station hold gunpoint billy desperate man need quick cash melinda find opportunity make connection robber regardless get hurt,Thriller
1601,1602,Legally Blondes,move england california youngest cousins elle woods must defend school reign force turn girls try frame crime,Comedy
1602,1603,Akira,secret military project endanger neo tokyo turn biker gang member rampage psychic psychopath two teenagers group psychics stop,Action
1603,1604,The Rugrats Movie,annoy responsibility older brother dil tommy set chuckie phil lil return baby brother hospital however inadvertently get lose woods trip,Family
1604,1605,12 Hour Shift,course one hour shift arkansas hospital junkie nurse scheme cousin group black market organ trade criminals start heist could lead collective demise,Thriller
1605,1606,Endangered Species,jack halsey take wife adult kid friend dream vacation kenya venture alone wilderness park safari van flip angry rhino leave injure desperate two go search rescue bloody vicious encounter leopard clan hyenas incite desperate fight survival,Thriller
1606,1607,Lassie Come Home,year old florian beloved dog lassie live idyllic village german countryside florian father lose job family move small apartment dog allow lassie give away another family florian lassie yearn reunite florian set adventure find best friend,Adventure
1607,1608,Xtreme,two years murder son father retire hitman set motion carefully craft revenge plan killer brother,Comedy
1608,1609,Barbie and the Magic of Pegasus 3-D,princess annika barbie escape clutch evil wizard explore wonder cloud kingdom team magnificent wing horse turn sister princess brietta defeat wizard break spell imprison family,Animation
1609,1610,Missing Link,charismatic sir lionel frost consider world foremost investigator myths monsters trouble none small mind high society peer seem recognize hop finally gain acceptance fellow adventurers sir lionel travel pacific northwest prove existence legendary creature know miss link,Family
1610,1611,Piranha,flesh eat piranhas accidently release summer resort rivers guests become next meal,Horror
1611,1612,Kids Are Back,catherine yann happily marry many years spend year travel abroad since sell business yann busy bonsai tree keep postpone big trip things go bad worse year old break daughter boyfriend lose apartment come knock door stay yann mid life crisis spin control couch surf daughter partner get increasingly invasive stay become indefinite catherine try everything kick parental home get life back track,Comedy
1612,1613,300,base frank miller graphic novel loosely base battle thermopylae king sparta lead army advance persians battle say inspire greece band together persians help usher world first democracy,Action
1613,1614,Spider-Man 2,peter parker go major identity crisis burn spider man decide shelve superhero alter ego leave city suffer wake carnage leave evil doc ock meantime parker still act feel mary jane watson girl love since childhood certain anger begin brew best friend harry osborn well,Action
1614,1615,Lilo & Stitch 2: Stitch Has a Glitch,find rowdy get use life new ohana however malfunction ultimate creation dr jumba soon emerge reinstate destructive program threaten ruin friendship lilo short good,Animation
