Number,Title,Overview,Genres
895,Peppermint,grieve mother transform vigilante follow murder husband daughter elude authorities deliver personal brand justice,Thriller
896,District 9,thirty years ago alien arrive earth conquer give aid find refuge die planet separate humans south african area call district alien manage multi national unite unconcerned alien welfare anything master advance technology company field agent contract mysterious virus begin alter dna one place hide district,Science Fiction
897,The Last Boy Scout,girl detective joe hallenback protect get murder boyfriend murder girl attempt investigate solve case discover deep seat corruption go crook politician owner pro football team,Action
898,Planet of the Apes,spaceship land desolate planet strand astronaut taylor world dominate ape years future use primitive race humans experimentation sport soon taylor find among hunt life hand benevolent chimpanzee scientist,Science Fiction
899,Dumb and Dumber,lloyd harry two men whose stupidity really indescribable mary beautiful woman lose important suitcase money leave aspen two friends find suitcase decide return adventure finally get aspen use lose money live fight mary heart,Comedy
900,Irreversible,events course one traumatic night paris unfold reverse chronological order beautiful alex brutally rap beat stranger underpass boyfriend ex lover take matter hand hire two criminals help find rapist exact revenge simultaneously beautiful terrible examination destructive nature cause effect time destroy everything,Drama
901,Heat,obsessive master thief neil mccauley lead top notch crew various dare heist throughout los angeles determine detective vincent hanna pursue without rest man recognize respect ability dedication even though aware cat mouse game may end violence,Action
902,S.W.A.T.,hondo harrelson recruit jim street join elite unit los angeles police department together seek members include tough deke kay single mom chris sanchez team first big assignment escort crime boss alex montel prison seem routine montel offer huge reward anyone break free criminals various strip step prize,Action
903,The Disaster Artist,aspire actor hollywood meet enigmatic stranger name tommy wiseau meet lead actor path nobody could predict create worst movie ever make,Comedy
904,Predators,mercenary reluctantly lead motley crew warriors soon come realize capture deposit alien planet unknown nemesis exception peculiar physician cold blood killers convict death squad members hunters become hunt,Action
905,Conan the Barbarian,film adaptation classic sword sorcery hero conan barbarian horde rampage warriors massacre parent young conan enslave young child years wheel pain sole survivor childhood massacre conan release slavery teach ancient arts fight transform kill machine conan travel wilderness seek vengeance thulsa doom man responsible kill family wilderness conan take thieve valeria subotai group come upon king osric want trio warriors help rescue daughter join doom hill,Adventure
906,A Million Ways to Die in the West,cowardly farmer begin fall mysterious new woman town must put new find courage test husband notorious gun slinger announce arrival,Comedy
907,Predestination,predestination chronicle life temporal agent send intricate series time travel journey design prevent future killers commit crimes final assignment agent must stop one criminal elude throughout time prevent devastate attack thousands live lose,Science Fiction
908,A Silent Voice,shouya ishida start bully new girl class shouko nishimiya deaf tease continue rest class start turn shouya lack compassion leave elementary school shouko shouya speak older wiser shouya torment past behaviour decide must see shouko want atone sin already late,Drama
909,Chronicle,three high school students make incredible discovery lead develop uncanny power beyond understand learn control abilities use advantage live start spin control darker side begin take,Science Fiction
910,Under Siege 2: Dark Territory,passenger train hijack electronics expert turn untraceable command center weapons satellite plan blow washington dc one man stop former navy seal casey ryback,Action
911,3:10 to Yuma,arizona late infamous outlaw ben wade vicious gang thieve murderers plague southern railroad wade capture civil war veteran dan evans struggle survive drought plague ranch volunteer deliver alive yuma train take killer trial,Western
912,The Vanishing,three lighthouse keepers uninhabited island coast scotland discover something keep,Thriller
913,Dragged Across Concrete,two policemen one old timer volatile younger partner find suspend video strong arm tactics become media cause du jour low cash options two embitter soldier descend criminal underworld gain due instead find far want await shadow,Crime
914,Despicable Me 3,gru wife lucy must stop former child star balthazar bratt achieve world domination,Action
915,The Cloverfield Paradox,orbit planet brink war scientists test device solve energy crisis end face face dark alternate reality,Mystery
916,Conan the Barbarian,quest begin personal vendetta fierce cimmerian warrior soon turn epic battle hulk rival horrific monsters impossible odds conan jason momoa realize hope save great nations hyboria encroach reign supernatural evil,Adventure
917,The Hunt for Red October,new technologically superior soviet sub red october head coast command captain marko ramius american government think ramius plan attack lone cia analyst different idea think ramius plan defect hours find prove entire russian naval air command try find,Action
918,The Legend of Tarzan,tarzan acclimate life london call back former home jungle investigate activities mine encampment,Action
919,A Cure for Wellness,ambitious young executive send retrieve company ceo idyllic mysterious wellness center remote location swiss alps soon suspect spa miraculous treatments seem,Horror
920,True Grit,follow murder father hire hand tom chaney year old farm girl mattie ross set capture killer aid hire toughest marshal find man true grit reuben rooster cogburn mattie insist accompany cogburn whose drink sloth generally reprobate character augment faith wish join trek indian nations search chaney join texas ranger laboeuf want chaney purpose unlikely trio find danger adventure journey grit test,Drama
921,Rio,capture smugglers hatchling macaw name blu never learn fly live happily domesticate life minnesota human friend linda blu think last kind word come jewel lone female live rio de janeiro blu linda go meet animal smugglers kidnap blu jewel pair soon escape begin perilous adventure back freedom linda,Animation
922,Jackie Brown,jackie brown flight attendant get catch middle smuggle cash country gunrunner boss cop try use jackie get boss hatch plan help bail bondsman keep money base elmore leonard novel punch,Crime
923,War of the Worlds,ray ferrier divorce dockworker less perfect father soon ex wife new husband drop teenage son young daughter rare weekend visit strange powerful lightning storm touch,Adventure
924,Charlie's Angels,three women detectives mysterious boss retrieve steal voice id software use martial arts tech skills sex appeal,Action
925,EuroTrip,scott learn longtime cyber buddy berlin gorgeous young woman friends embark trip across europe,Comedy
926,10 Things I Hate About You,first day new school cameron instantly fall bianca gorgeous girl dream problem bianca forbid date ill temper completely un dateable older sister kat go attempt solve problem cameron single guy could possibly match kat mysterious bad boy nasty reputation,Comedy
927,Dragon Ball Z: Broly ??The Legendary Super Saiyan,goku investigate destruction southern galaxy vegeta take king new planet vegeta destroy legendary super saiyan broly,Animation
928,The Pursuit of Happyness,struggle salesman take custody son poise begin life change professional career,Drama
929,The Mortal Instruments: City of Bones,new york city clary fray seemingly ordinary teenager learn descend line shadowhunters half angel warriors protect humanity evil force mother disappear clary join force group shadowhunters enter downworld alternate realm fill demons vampires host creatures clary companion must find protect ancient cup hold key mother future,Action
930,Gifted,frank single man raise child prodigy niece mary draw custody battle mother,Drama
931,Me Before You,small town girl catch dead end job high profile successful man become wheelchair bind follow accident man decide life worth live girl hire six months new caretaker worlds apart trap together circumstance two get rocky start girl become determine prove man life worth live embark series adventure together find world change ways neither could begin imagine,Drama
932,28 Weeks Later,chill sequel days later inhabitants british isles appear lose battle onslaught disease deadly rage virus kill every citizen six months later group americans dare set foot isles convince danger come go soon become clear scourge continue live wait pounce next victims,Horror
933,Kick-Ass,dave lizewski unnoticed high school student comic book fan one day decide become super hero even though power train meaningful reason,Action
934,Machete,set betray man hire assassinate texas senator ex federale launch brutal rampage revenge former boss,Action
935,A.I. Artificial Intelligence,david robotic boy first kind program love adopt test case cybertronics employee wife though gradually become child series unexpected circumstances make life impossible david without final acceptance humans machine david embark journey discover truly belong uncover world line robot machine vast profoundly thin,Drama
936,Inkheart,adventure father young daughter search long lose book help reunite miss close relative,Adventure
937,Crank: High Voltage,chelios face chinese mobster steal nearly indestructible heart replace battery power ticker require regular jolt electricity keep work,Action
938,xXx,xander cage standard adrenaline junkie fear lousy attitude us government recruit go mission exactly thrill mission gather information organization may plan destruction world lead nihilistic yorgi,Action
939,Logan Lucky,try reverse family curse brothers jimmy clyde logan set execute elaborate robbery legendary coca cola race charlotte motor speedway,Action
940,Live and Let Die,jam bond must investigate mysterious murder case british agent new orleans soon find gangster boss name mr big,Adventure
941,The Sorcerer's Apprentice,balthazar blake master sorcerer modern day manhattan try defend city arch nemesis maxim horvath balthazar alone recruit dave stutler seemingly average guy demonstrate hide potential reluctant protege sorcerer give unwilling accomplice crash course art science magic together unlikely partner work stop force darkness,Fantasy
942,Dead Poets Society,elite old fashion board school new england passionate english teacher inspire students rebel convention seize potential every day court disdain stern headmaster,Drama
943,The Hunchback of Notre Dame,quasimodo defy evil frollo venture festival fool cruel crowd jeer rescue fellow outcast gypsy esmeralda quasi soon find battle save people city love,Drama
944,Rise of the Guardians,evil spirit know pitch lay gauntlet take world immortal guardians must join force first time protect hop beliefs imagination children world,Animation
945,Star Trek,fate galaxy rest hand bitter rival one jam kirk delinquent thrill seek iowa farm boy spock vulcan raise logic base society reject emotion fiery instinct clash calm reason unlikely powerful partnership thing capable lead crew unimaginable danger boldly go one go human adventure begin,Science Fiction
946,Dilwale Dulhania Le Jayenge,raj rich carefree happy go lucky second generation nri simran daughter chaudhary baldev singh spite nri strict adherence indian value simran leave india marry childhood fiance raj leave india mission hand claim lady love nose whole family thus begin saga,Comedy
947,Donnie Darko,narrowly escape bizarre accident trouble teenager plague visions large bunny rabbit manipulate commit series crimes,Fantasy
948,Roma,mexico city two domestic workers help mother four husband away extend period time,Drama
949,Storm Boy,storm boy live lonely life reclusive father desolate coastline form close bond pelican mr percival life take new unexpected turn,Drama
950,Invasion of the Body Snatchers,small town doctor learn population community replace emotionless alien duplicate,Horror
951,I Am Number Four,teenage fugitive incredible secret race stay one step ahead mysterious force seek destroy sci fi action thriller three dead one run race find elusive number four begin outwardly normal teen john smith never get comfortable identity along guardian henri constantly move town town pass day john gain stronger grasp extraordinary new power bond be share fantastic fate grow stronger,Action
952,Signs,family live farm find mysterious crop circle field suggest something frighten come,Drama
953,Barbie and the Diamond Castle,liana alexa barbie teresa best friends share everything include love sing one day walk forest home village girls meet old beggar give magical mirror clean mirror sing musical apprentice muse name melody appear mirror surface tell girls secret diamond castle,Animation
954,Hot Fuzz,former london constable nicholas angel find difficult adapt new assignment sleepy british village sandford miss excitement big city also well mean oaf partner however series grisly accidents rock sandford angel smell something rotten idyllic village,Crime
955,Rim of the World,strand summer camp alien attack planet four teens nothing common embark perilous mission save world,Science Fiction
956,Enemy of the State,hotshot washington criminal lawyer become target rogue security executive videotape act murder congressman incriminate tape surreptitiously slip shop bag videographer flee executive assassins,Action
957,Burn After Reading,disc contain memoirs former cia analyst fall hand gym employees linda chad see chance make enough money linda life change cosmetic surgery predictably events whirl control duo orbit,Comedy
958,Slender Man,small town massachusetts four high school girls perform ritual attempt debunk lore slender man one girls go mysteriously miss begin suspect fact latest victim,Mystery
959,The Happytime Murders,world human be puppets live together members cast children television show air begin get murder one one puppet phil philips former lapd detective fell disgrace turn private eye take case request old boss order assist detective edwards partner past,Action
960,North by Northwest,advertise man roger thornhill mistake spy trigger deadly cross country chase,Mystery
961,Eyes Wide Shut,dr bill hartford wife alice admit sexual fantasy man meet bill become obsess sexual encounter discover underground sexual group attend one meet quickly discover head,Mystery
962,Operation Red Sea,squad jiaolong commando unit sea dragon spec ops team chinese navy carry hostage rescue operation nation yewaire arabian peninsula fiercely fight local rebel group zaka terrorist organization,Action
963,Rush Hour,hong kong inspector lee summon los angeles investigate kidnap fbi want outside help assign cocky lapd detective jam carter distract lee case content watch action sideline lee carter form unlikely partnership investigate case,Action
964,Hitman: Agent 47,assassin team woman help find father uncover mysteries ancestry,Action
965,The Breakfast Club,five disparate high school students meet saturday detention discover lot common think,Comedy
966,Olympus Has Fallen,white house secret service code olympus capture terrorist mastermind president kidnap disgrace former presidential guard mike ban find trap within build national security team scramble respond force rely ban inside knowledge help retake white house save president avert even bigger disaster,Action
967,Ballet Shoes,unusual explorer name gum kindly niece adopt three orphan pauline petrova posy raise sisters london girls must fend gum return one adventure together nurture passions act aviation ballet charm tv adaptation noel streatfield novel,TV Movie
968,Top Gun,lieutenant pete maverick mitchell friend co pilot nick goose bradshaw accept elite train school fighter pilot dream come true tragedy well personal demons threaten pete dream become ace pilot,Action
969,Christopher Robin,christopher robin boy countless adventure hundred acre wood grow lose way spirit loveable stuff animals winnie pooh tigger piglet rest gang rekindle friendship remind endless days childlike wonder make believe nothing best something,Adventure
970,Just Go with It,plastic surgeon romance much younger schoolteacher enlist loyal assistant pretend soon ex wife order cover careless lie lie backfire assistant kid become involve everyone head weekend hawaii change live,Comedy
971,Collateral,cab driver max pick man offer drive around promise easy money sour max realize fare assassin,Drama
972,Ghost Rider: Spirit of Vengeance,devil resurface aim take world human form johnny blaze reluctantly come hide transform flame spew supernatural hero ghost rider rescue year old boy unsavory end,Action
973,Mean Girls,cady heron hit plastics list girl clique new school make mistake fall aaron samuels ex boyfriend alpha plastic regina george,Comedy
974,American Pie 2,whole gang back close ever decide get even closer spend summer together beach house decide hold biggest party ever see even preparation always go plan especially stifler finch jim become close ever want jim mistake super glue lubricant,Comedy
975,The Empire Strikes Back,epic saga continue luke skywalker hop defeat evil galactic empire learn ways jedi age master yoda darth vader determine ever capture luke meanwhile rebel leader princess leia cocky han solo chewbacca droids throw various stag capture betrayal despair,Adventure
976,American Assassin,follow murder fiancee mitch rapp train instruction cold war veteran stan hurley pair enlist investigate wave apparently random attack military civilian target,Action
977,The Judge,successful lawyer return hometown mother funeral discover estrange father town judge suspect murder,Drama
978,Antologi Rasa,story four bankers friends years harris keara ruly denise secretly love harris love keara keara believe ruly soul mate ruly heart engrave denise denise marry someone else,Drama
979,Star Wars: Episode III - Revenge of the Sith,years onset clone war noble jedi knight lead massive clone army galaxy wide battle separatists sinister sith unveil thousand year old plot rule galaxy republic crumble ash rise evil galactic empire jedi hero anakin skywalker seduce dark side force become emperor new apprentice darth vader jedi decimate obi wan kenobi jedi master yoda force hide hope galaxy anakin offspring twin children bear secrecy grow become heroes,Science Fiction
980,Hostel,three backpackers head slovakian city promise meet hedonistic expectations idea hell await,Horror
981,Lethal Weapon 4,combustible action franchise final installment maverick detectives martin riggs roger murtaugh square asian mobster wah sing ku neck slave trade counterfeit currency help gumshoe leo getz smart aleck rookie cop lee butter riggs murtaugh aim take ku gang,Action
982,Johnny English Reborn,prominent head state world begin gather conference could major impact global politics mi receive word chinese premier become target high power killers fall johnny english save day arm latest high tech weaponry gadgets would make even jam bond jealous disgrace agent uncover evidence massive conspiracy involve world powerful organisations vow redeem tarnish reputation stop killers strike,Crime
983,The Many Adventures of Winnie the Pooh,whether young forever young heart hundred acre wood call place us still believe magic join pal pooh piglet kanga roo owl rabbit tigger christopher robin enjoy days together sing way adventure,Animation
984,Gremlins,billy peltzer give strange adorable pet name gizmo christmas inadvertently break three important rule care mogwai unleash horde mischievous gremlins small town,Fantasy
985,Monsters vs Aliens,susan murphy unwittingly clobber meteor full outer space gunk wed day mysteriously grow feet inch military jump action capture susan secrete away covert government compound rename ginormica place confinement ragtag group monsters,Animation
986,A View to a Kill,newly develop microchip design zorin industries british government survive electromagnetic radiation cause nuclear explosion land hand kgb jam bond must find suspicions soon lead big industry leader max zorin,Adventure
987,Chef,chef carl casper suddenly quit job prominent los angeles restaurant refuse compromise creative integrity control owner leave figure next find miami team ex wife friend son launch food truck take road chef carl go back root reignite passion kitchen zest life love,Comedy
988,The Girl Who Leapt Through Time,year old makoto konno gain ability quite literally leap backwards time immediately set improve grade prevent personal mishaps however soon realise change past simple seem eventually rely new power shape future friends,Fantasy
989,Diamonds Are Forever,diamonds steal sell international market jam bond infiltrate smuggle mission find guilty mission take las vegas bond meet archenemy blofeld,Adventure
990,Public Enemies,depression era bank robber john dillinger charm audacity endear much america downtrodden public also thorn side edgar hoover fledgling fbi desperate capture elusive outlaw hoover make dillinger first public enemy number one assign top agent melvin purvis task bring dead alive,Crime
991,The Man with the Golden Gun,golden bullet engrave smash secret service headquarter bullet come professional killer scaramanga yet miss target jam bond begin mission try stop,Adventure
992,Scary Movie,follow heel popular teen scream horror movies uproarious comedy bite satire marlon shawn wayans shannon elizabeth carmen electra pitch skewer hollywood biggest blockbusters include scream know last summer matrix american pie blair witch project,Comedy
993,Captain Underpants: The First Epic Movie,two mischievous kid hypnotize mean elementary school principal turn comic book creation kind hearted elastic band captain underpants,Action
994,War Dogs,base true story two young men david packouz efraim diveroli million contract pentagon arm america ally afghanistan,Comedy
995,The Butterfly Effect,young man struggle access sublimate childhood memories find technique allow travel back past occupy childhood body change history however soon find every change make unexpected consequences,Science Fiction
996,Dredd,future america dystopian wasteland latest scourge prostitute turn drug pusher dangerous new drug aim take city possibility stop elite group urban police call judge combine duties judge jury executioner deliver brutal brand swift justice even top rank judge dredd discover take easy seem explosive adaptation hugely popular comic series,Action
997,Payback,friends like need enemies question bad guy porter leave ask wife partner steal heist money leave dead think five months endless reservoir bitterness later porter partner crook cop tail learn bad payback,Crime
998,Teen Titans Go! To the Movies,major dc superheroes star film teen titans robin determine remedy situation get role sidekick become movie star thus madcap ideas inspirational song hearts teen titans head hollywood fulfill dream,Animation
999,Safe,former elite agent rescue year old chinese girl abduct find middle standoff triads russian mafia high level corrupt new york city politicians police,Action
1000,Cult of Chucky,confine asylum criminally insane past four years nica pierce erroneously convince chucky murder entire family psychiatrist introduce new therapeutic ool facilitate patients group sessions familiar ood guy doll innocently smile face string grisly deaths begin plague asylum nica start wonder maybe crazy meanwhile andy barclay chucky grow nemesis first three child play race nica aid save get past tiffany chucky long ago bride anything matter deadly deprave help beloved evil devilish doll,Horror
1001,The Texas Chainsaw Massacre,pick traumatize young hitchhiker five friends find stalk hunt deform chainsaw wield killer family equally psychopathic killers,Horror
1002,The Kindergarten Teacher,lisa spinelli staten island teacher unusually devote students discover one five year olds prodigy become fascinate boy ultimately risk family freedom nurture talent,Drama
1003,Teenage Mutant Ninja Turtles: Out of the Shadows,supervillain shredder escape custody join force mad scientist baxter stockman two dimwitted henchmen bebop rocksteady unleash diabolical plan take world turtle prepare take shredder new crew find face even greater evil similar intentions notorious krang,Action
1004,Hachi: A Dog's Tale,drama base true story college professor bond abandon dog take home,Drama
1005,Salt,cia officer evelyn salt swear oath duty honor country loyalty test defector accuse russian spy salt go run use skills years experience covert operative elude capture salt efforts prove innocence serve cast doubt motives hunt uncover truth behind identity continue question remain salt,Action
1006,Hummingbird,homeless run military court martial damage ex special force soldier navigate london criminal underworld seize opportunity assume another man identity transform avenge angel process,Action
1007,Texas Chainsaw 3D,young woman learn inherit texas estate decease grandmother embark road trip friends uncover root find sole owner lavish isolate victorian mansion newfound wealth come price stumble upon horror await mansion dank cellars,Horror
1008,Nymphomaniac: Vol. I,man name seligman find faint wound woman alley bring home tell name joe nymphomaniac joe tell life sexual experience hundreds men since young teenager seligman tell hobbies fly fish read fibonacci number listen organ music,Drama
1009,London Fields,clairvoyant femme fatale nicola six live dark premonition impend death murder begin tangle love affair three uniquely different men ne know murderer,Crime
1010,Prince of Persia: The Sands of Time,rogue prince reluctantly join force mysterious princess together race dark force safeguard ancient dagger capable release sand time gift gods reverse time allow possessor rule world,Adventure
1011,The Circle,young tech worker take job powerful internet corporation quickly rise company rank soon find perilous situation concern privacy surveillance freedom come learn decisions action determine future humanity,Drama
1012,Inferno,wake hospital amnesia professor robert langdon doctor must race time foil deadly global plot,Mystery
1013,Set It Up,two overwork underpay assistants come plan get boss back set,Romance
1014,All the Money in the World,story kidnap year old john paul getty iii desperate attempt devote mother convince billionaire grandfather jean paul getty pay ransom,Thriller
1015,The Raid,deep heart jakarta slum lie impenetrable safe house world dangerous killers gangsters run apartment block consider untouchable even bravest police cloak cover pre dawn darkness silence elite swat team task raid safe house order take notorious drug lord run chance encounter spotter blow cover news assault reach drug lord build light cut exit block strand sixth floor way unit must fight way city worst survive mission star indonesian martial arts sensation iko uwais,Action
1016,Over the Hedge,scheme raccoon fool mismatch family forest creatures help repay debt food invade new suburban sprawl pop hibernate learn lesson family,Comedy
1017,"Everything, Everything",teenager live shelter life allergic everything fall boy move next door,Drama
1018,Teen Beach 2,character movie musical et side story get stick real world teens brady mack must find way return home,TV Movie
1019,Robots,rodney copperbottom young robot inventor dream make world better place evil ratchet take big weld industries rodney dream friends danger become obsolete,Animation
1020,The House That Jack Built,fail architect engineer vicious murderer jack narrate detail elaborately orchestrate crimes tower piece art define life work serial killer twelve years,Drama
1021,Ultraviolet,late century subculture humans emerge modify genetically vampire like disease give enhance speed incredible stamina acute intelligence set apart normal healthy humans world push brink worldwide civil war aim destruction diseased population middle cross fire infect woman ultraviolet find protect nine year old boy mark death human government believe threat humans,Science Fiction
1022,A Knight's Tale,william thatcher peasant send apprentice knight name hector young boy urge father change star assume sir hector place tournament hector die middle win apprentice train assume title sir ulrich von lichtenstein,Adventure
1023,Lara Croft: Tomb Raider ??The Cradle of Life,lara croft venture underwater temple search mythological pandora box secure promptly steal villainous leader chinese crime syndicate lara must recover box syndicate evil mastermind use construct weapon catastrophic capabilities,Action
1024,Commando,john matrix former leader special commando strike force always get toughest job do force back action young daughter kidnap find matrix fight way array punks killers one former commandos fully equip private army help feisty stewardess old friend matrix hours overcome greatest challenge find daughter kill,Action
1025,Basic Instinct,police detective charge investigation brutal murder beautiful seductive woman could involve,Thriller
1026,No Good Deed,terri devote wife mother two live ideal suburban life atlanta colin charm dangerous escape convict show door claim car trouble terri offer phone help soon learn good deed go unpunished find fight survival invade home terrorize family,Crime
1027,The Forbidden Kingdom,american teenager obsess hong kong cinema kung fu classics make extraordinary discovery chinatown pawnshop legendary stick weapon chinese sage warrior monkey king lose relic hand teenager unexpectedly find travel back ancient china join crew warriors martial arts lore dangerous quest free imprison monkey king,Action
1028,The Snowman,detective harry hole investigate disappearance woman whose pink scarf find wrap around ominous look snowman,Drama
1029,Cheeky,scout apartments london venetian boyfriend carla rent apartment overlook thames meet lesbian hyper horny real estate agent moira,Comedy
1030,Inside Man,arm mask gang enter manhattan bank lock doors take hostages detective assign effect release enter negotiations preoccupy corruption charge face,Crime
1031,Home Alone 2: Lost in New York,instead fly florida folks kevin end alone new york get hotel room dad credit card espite problems clerk meddle bellboy kevin run old nemeses wet bandits determine foil plan rob toy store christmas eve,Comedy
1032,National Lampoon's Christmas Vacation,christmas time griswolds prepare family seasonal celebration things never run smoothly clark wife ellen two kid clark continual bad luck worsen obnoxious family guests manage keep go know christmas bonus due soon,Comedy
1033,Scary Movie 2,original parody slasher flick like scream keenen ivory wayans sequel scary movie take comedic aim haunt house movies group students visit mansion call hell house murderous high jinks ensue,Comedy
1034,Saw IV,jigsaw apprentice amanda dead upon news detective kerry murder two season fbi profilers agent strahm agent perez arrive terrify community assist veteran detective hoffman sift jigsaw latest grisly remain piece together puzzle however swat commander rigg abduct thrust game last officer untouched jigsaw ninety minutes overcome series demented trap save old friend face deadly consequences,Horror
1035,Limitless,paranoia fuel action thriller unsuccessful writer whose life transform top secret smart drug allow use brain become perfect version enhance abilities soon attract shadowy force threaten new life darkly comic provocative film,Thriller
1036,Underworld: Awakening,escape years imprisonment vampire warrioress selene find change world humans discover existence vampire lycan clans conduct war eradicate immortal species selene must battle humans frighten new breed super lycans ensure death dealers survival,Fantasy
1037,Hotel Transylvania,welcome hotel transylvania dracula lavish five stake resort monsters families live humans allow one special weekend dracula invite best friends celebrate beloved daughter mavis birthday dracula cater legendary monsters problem party really start one ordinary guy stumble hotel change everything,Animation
1038,Welcome to Marwen,devastate attack shatter mark hogancamp wipe away memories one expect recovery put together piece old new life mark meticulously create wondrous town name marwen heal heroic build astonish art installation testament powerful women know fantasy world draw strength triumph real one,Drama
1039,Catwoman,liquidate discover corporate conspiracy mild mannered graphic artist patience phillips wash island resurrect endow prowess cat eager use new skills vigilante say cat mouse handsome gumshoe tom lone tail,Action
1040,(500) Days of Summer,tom greet card writer hopeless romantic catch completely guard girlfriend summer suddenly dump reflect days together try figure love affair go sour tom rediscover true passions life,Comedy
1041,City of God,cidade de deus shantytown start become one rio de janeiro dangerous place begin tell story place movie describe life various character see point view narrator buscape buscape raise violent environment despite feel odds find life see eye,Drama
1042,The Truman Show,truman burbank star truman show hour day reality tv show broadcast every aspect life live color without knowledge entire life unending soap opera consumption rest world everyone know include wife best friend really actor pay part life,Comedy
1043,Spirit: Stallion of the Cimarron,wild stallion travel across frontiers old west befriend young human find true love mare,Western
1044,The Simpsons Movie,homer accidentally pollute town water supply springfield encase gigantic dome epa simpsons declare fugitives,Animation
1045,Paul Blart: Mall Cop 2,security guard paul blart head las vegas attend security guard expo teenage daughter maya depart college convention inadvertently discover heist blart apprehend criminals,Action
1046,Cast Away,chuck top international manager fedex kelly ph student love head towards marriage chuck plane malaysia ditch sea terrible storm survivor wash tiny island nothing flotsam jetsam aircraft cargo,Adventure
1047,Batman Ninja,gorilla grodd time displacement machine transport many batman worst enemies feudal japan along dark knight ally,Action
1048,Dark City,man struggle memories past include wife cannot remember nightmarish world sun run be telekinetic power seek souls humans,Mystery
1049,Mechanic: Resurrection,arthur bishop think put murderous past behind formidable foe kidnap love life force travel globe complete three impossible assassinations best make look like accidents,Action
1050,Gran Torino,widower walt kowalski grumpy prejudice tough mind unhappy old korean war veteran get along either kid neighbour prize possession gran torino keep mint condition neighbour thaoe young hmong teenager pressure gang member cousin ries steal gran torino walt set reform youth take step protect thao family gang infest neighborhood,Drama
1051,Edward Scissorhands,small suburban town receive visit castaway unfinished science experiment name edward,Fantasy
1052,Van Helsing,famed monster slayer gabriel van helsing dispatch transylvania assist last valerious bloodline defeat count dracula anna valerious reveal dracula form unholy alliance dr frankenstein monster hell bend exact centuries old curse family,Horror
1053,Dirty Grandpa,jason kelly one week away marry boss uber control daughter put fast track partnership law firm however straight lace jason trick drive foul mouth grandfather dick daytona spring break pending nuptials suddenly jeopardy riotous frat party bar fight epic night karaoke dick quest live life fullest bring jason along ride,Comedy
1054,Mission: Impossible III,retire active duty train new imf agents ethan hunt call back action confront sadistic arm dealer owen davian hunt must try protect girlfriend work new team complete mission,Adventure
1055,Gods of Egypt,common thief join mythical god quest egypt,Action
1056,Step Up,everyone deserve chance follow dream people get one shoot tyler gage rebel wrong side baltimore track thing stand unfulfilled life dream one day make nora privilege ballet dancer attend baltimore ultra elite maryland school arts,Music
1057,The Dictator,heroic story dictator risk life ensure democracy would never come country lovingly oppress,Comedy
1058,The Addams Family,evil doctor find uncle fester miss years introduce fake fester attempt get addams family money wednesday doubt new uncle fester fake uncle adapt well strange family,Horror
1059,Ghostbusters,lose academic post prestigious university team go business proton pack tot ghostbusters exterminate ghouls hobgoblins supernatural pests strip ad campaign pay knockout cellist hire squad purge swanky dig demons appear live refrigerator,Action
1060,Rocky II,rocky go distance champ apollo creed try put fight behind move rocky settle adrian put life together outside ring creed seek rematch restore reputation soon enough master disaster italian stallion set collision course climactic battle brutal unforgettable,Drama
1061,The Last Stand,ray owens sheriff quiet us border town sommerton junction leave lapd follow bungle operation follow escape fbi notorious drug baron gang hostage head toward sommerton junction police prepare make last stand intercept cross border owens reluctant become involve ultimately join law enforcement efforts,Action
1062,Captain Phillips,true story captain richard phillips hijack somali pirate us flag mv maersk alabama first american cargo ship hijack two hundred years,Action
1063,The Thing,paleontologist kate lloyd travel isolate outpost antarctica expedition lifetime join international team unearth remarkable discovery elation quickly turn fear realize experiment free mysterious freeze prison paranoia spread like epidemic creature mimic anything touch pit human human try survive flourish spine tingle thriller,Horror
1064,Sucker Punch,young girl abusive stepfather retreat alternative reality cop strategy envision plan help escape mental facility,Action
1065,A Monster Calls,boy imagine monster help deal difficult life see world different way,Drama
1066,Ted,john bennett man whose childhood wish bring teddy bear life come true must decide keep relationship bear girlfriend lori,Comedy
1067,What Women Want,advertise executive nick marshall cocky come happen chauvinistic guy suddenly hear women think nick get pass promotion accident enable hear women thoughts put newfound talent work darcy new boss seem infatuate,Comedy
1068,Treasure Planet,space galleon cabin boy jim hawkins discover map intergalactic loot thousand worlds cyborg cook name john silver teach battle supernovas space storm soon jim realize silver pirate intent mutiny,Adventure
1069,Nakee 2,new detective send investigate unusual events rural village north east thailand believe involve mythical giant snake call nakee,Drama
1070,Speed,los angeles swat cop jack traven bomb expert howard payne major ransom money first rig elevator tall build rig bus slow blow bad enough day nightmare la traffic still end,Action
1071,The Foreigner,quan humble london businessman whose long bury past erupt revenge fuel vendetta person leave love teenage daughter die senseless act politically motivate terrorism relentless search find terrorists lead cat mouse conflict british government official whose past may hold clue identities elusive killers,Action
1072,Beautiful Creatures,ethan wate want get know lena duchannes better unbeknownst lena strange power lena birthday approach might decide fate good evil choice impact relationship forever,Fantasy
1073,Coming to America,prince akeem heir throne zamunda leave tropical paradise kingdom search queen better place queen new york find bride join loyal servant friend semmi akeem attempt blend ordinary american begin search,Comedy
1074,The Possession of Hannah Grace,cop rehab take graveyard shift city hospital morgue face series bizarre violent events cause evil entity one corpses,Horror
